,test_roc_auc,test_precision,test_recall,test_f0.5_score,scale_user,scale_activity
0,0.8378499097307988,0.8145161290322581,0.010923642656283799,0.051837405050297686,4.1,0.1
0,0.8375015866528557,0.5740338278370972,0.2190136275146009,0.4334950763522191,4.1,0.6
0,0.8353527002964166,0.4852530888800319,0.351142836541928,0.4508173958121192,4.1,1.1
0,0.833755889857108,0.442923862278701,0.4410555916071815,0.4425489430047315,4.1,1.6
0,0.8326534783213191,0.4188093235612159,0.5026678203186964,0.43326538475880333,4.1,2.1
0,0.8316897949748959,0.40224902130790047,0.5519503929627226,0.42532030980875857,4.1,2.6
0,0.8308895278629493,0.3894917190177042,0.590093013194895,0.41790496032353935,4.1,3.1
0,0.8302235711710886,0.3785014853119155,0.6201240175931935,0.4104897908532919,4.1,3.6
0,0.8302221257533268,0.37036577035335033,0.6450356911096691,0.4048440087974151,4.1,4.1
0,0.829857014670767,0.3619687151275475,0.6665585117888817,0.3983771018814586,4.1,4.6
0,0.8296151146481259,0.3560943643512451,0.6856658735308963,0.3939671386787529,4.1,5.1
0,0.829648001381547,0.35068271649299315,0.703691686495061,0.389790636557525,4.1,5.6
0,0.8294769856379467,0.3451264415728776,0.7163818588218329,0.3850342192356283,4.1,6.1
0,0.8292670722196026,0.340449475947326,0.730730405941308,0.3811653289805252,4.1,6.6
0,0.8293260021099863,0.33687589041544536,0.7416540485975918,0.37815342308625544,4.1,7.1
0,0.8295427242590552,0.33222464471569296,0.7526137428798039,0.3740065786173437,4.1,7.6
0,0.829546954196229,0.328507898992412,0.7616627009878145,0.3706673310267873,4.1,8.1
0,0.8295284966310253,0.3252830303676728,0.7696301103179753,0.36774686998284256,4.1,8.6
0,0.8294754371479706,0.32084598440197654,0.7771649001369961,0.36353671287395867,4.1,9.1
0,0.8379455377244099,0.7894736842105263,0.012437810945273632,0.05850234009360375,4.6,0.1
0,0.8374982653207947,0.556769281694803,0.24255533924579997,0.4422010148013775,4.6,0.6
0,0.8354338761006053,0.4706775648756086,0.3799120340327349,0.44921308847852404,4.6,1.1
0,0.8338924209863621,0.432408117023758,0.4678419496719302,0.4390588840318848,4.6,1.6
0,0.8328327334589063,0.4100086570415259,0.5293099718797317,0.4293635289576193,4.6,2.1
0,0.8318932575376141,0.39458542342874003,0.5785204412719014,0.4213801796124153,4.6,2.6
0,0.8311511547563359,0.38271604938271603,0.6146802220780158,0.4139595412211442,4.6,3.1
0,0.8305054845597911,0.37132406426003284,0.6441344004614609,0.4056883100369654,4.6,3.6
0,0.8305254721980067,0.3634529104053604,0.668793712596438,0.3999749894351924,4.6,4.1
0,0.8301528086951517,0.3555336446337879,0.6889826231163025,0.39363542739443874,4.6,4.6
0,0.8299441535949563,0.3495102404274265,0.7075131588434639,0.3888633499512558,4.6,5.1
0,0.8299646492693141,0.3440017828367676,0.7234479775037854,0.38431632410734123,4.6,5.6
0,0.82983700934808,0.3385194021937237,0.7365707693416973,0.3795410805709742,4.6,6.1
0,0.8296103770933771,0.33341355410088563,0.7491888384166125,0.3750406063887385,4.6,6.6
0,0.82969009419029,0.3295273250539619,0.7595356550580431,0.3716037449642648,4.6,7.1
0,0.8299110395794549,0.3254855887334259,0.769053284303122,0.3679275873250223,4.6,7.6
0,0.8299140129773915,0.32151811832129423,0.7766601773739996,0.3642047106717069,4.6,8.1
0,0.8299117679913162,0.3182893008319953,0.7861417549931502,0.3612920756317558,4.6,8.6
0,0.8298614127673808,0.31432286828905814,0.7929915639195327,0.35747950619852176,4.6,9.1
0,0.837753581473982,0.7708333333333334,0.017340832071526424,0.07954620625785538,5.1,0.1
0,0.8373455729915569,0.538950480413895,0.26288845626937773,0.445405458232549,5.1,0.6
0,0.8353346243600102,0.46003202364823254,0.40395846852693057,0.44760557979003884,5.1,1.1
0,0.8338424172543736,0.4227844171969579,0.491023145143846,0.4348714542969897,5.1,1.6
0,0.8328304025618787,0.40190760684432564,0.5529598384887159,0.42513443095515274,5.1,2.1
0,0.8319334628168136,0.3856456442515262,0.5989617131732641,0.41522128140276515,5.1,2.6
0,0.8312007322821026,0.373908435777872,0.6359867330016584,0.40749244657162126,5.1,3.1
0,0.8306021148129636,0.3641248518372185,0.6645035691109669,0.4003162220156547,5.1,3.6
0,0.8306324930721514,0.35700123452171634,0.6880813324680943,0.3950146117738611,5.1,4.1
0,0.8302670156385031,0.34893026729979193,0.7073329007138222,0.38827804032392127,5.1,4.6
0,0.8300653328242314,0.342950741353717,0.7246376811594203,0.383333206191308,5.1,5.1
0,0.8300851330489083,0.33654572319816123,0.7390222799048237,0.37768352629911045,5.1,5.6
